ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,In Use Indicator (Yes/No),ICAO Airline Code,IATA Airline Code,Number of seats
A321,321,A321,Airbus,yes,KF,BLF,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,FM,CSH,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,ET,ETH,185
A321,321,A321,Airbus,yes,JL,JAL,185
A321,321,A321,Airbus,yes,JQ,JST,185
A321,321,A321,Airbus,yes,MF,CXA,185
A321,321,A321,Airbus,yes,AB,BER,185
A321,321,A321,Airbus,no,,LAU,185
A321,321,A321,Airbus,yes,KC,KZR,185
A321,321,A321,Airbus,yes,GE,TNA,185
A321,321,A321,Airbus,yes,SK,SAS,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,no,,XMS,185
A321,321,A321,Airbus,yes,HG,NLY,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,SV,SVA,185
A321,321,A321,Airbus,yes,BY,TOM,185
A321,321,A321,Airbus,yes,GA,GIA,185
A321,321,A321,Airbus,yes,IB,IBE,185
A321,321,A321,Airbus,yes,LA,LAN,185
A321,321,A321,Airbus,yes,EI,EIN,185
A321,321,A321,Airbus,yes,BD,BMA,185
A321,321,A321,Airbus,yes,3U,CSC,185
A321,321,A321,Airbus,yes,AZ,AZA,185
A321,321,A321,Airbus,yes,UA,UAL,185
A321,321,A321,Airbus,yes,VN,HVN,185
A321,321,A321,Airbus,yes,TK,THY,185
A321,321,A321,Airbus,yes,CA,CCA,185
A321,321,A321,Airbus,yes,2J,VBW,185
A321,321,A321,Airbus,yes,ZI,AAF,185
A321,321,A321,Airbus,yes,JK,JKK,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,ZB,BUB,185
A321,321,A321,Airbus,yes,MS,MSR,185
A321,321,A321,Airbus,yes,AC,ACA,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,U6,SVR,185
A321,321,A321,Airbus,yes,AT,RAM,185
A321,321,A321,Airbus,yes,US,USA,185
A321,321,A321,Airbus,yes,LX,SWR,185
A321,321,A321,Airbus,yes,OA,OAL,185
A321,321,A321,Airbus,yes,TP,TAP,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,IT,KFR,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,CO,COA,185
A321,321,A321,Airbus,yes,OK,CSA,185
A321,321,A321,Airbus,yes,VS,VIR,185
A321,321,A321,Airbus,yes,KL,KLM,185
A321,321,A321,Airbus,yes,CI,CAL,185
A321,321,A321,Airbus,yes,NZ,ANZ,185
A321,321,A321,Airbus,yes,K6,,185
A321,321,A321,Airbus,yes,OS,AUA,185
A321,321,A321,Airbus,yes,CZ,CSN,185
A321,321,A321,Airbus,yes,QF,QFA,185
A321,321,A321,Airbus,yes,SU,AFL,185
A321,321,A321,Airbus,yes,EY,ETD,185
A321,321,A321,Airbus,yes,AE,MDA,185
A321,321,A321,Airbus,yes,NH,ANA,185
A321,321,A321,Airbus,yes,AF,AFR,185
A321,321,A321,Airbus,yes,JJ,TAM,185
A321,321,A321,Airbus,,,,185
A321,321,A321,Airbus,yes,AY,FIN,185
A321,321,A321,Airbus,yes,SN,DAT,185
A321,321,A321,Airbus,yes,LR,LRC,185
A321,321,A321,Airbus,,,,185
A332,332,A330-200,Airbus,yes,MU,CES,253
A332,332,A330-200,Airbus,yes,WY,OMA,253
A332,332,A330-200,Airbus,yes,BR,EVA,253
A332,332,A330-200,Airbus,yes,JQ,JST,253
A332,332,A330-200,Airbus,yes,VN,HVN,253
A332,332,A330-200,Airbus,yes,TP,TAP,253
A332,332,A330-200,Airbus,yes,ME,MEA,253
A332,332,A330-200,Airbus,yes,UX,AEA,253
A332,332,A330-200,Airbus,yes,QR,QTR,253
A332,332,A330-200,Airbus,yes,JK,JKK,253
A332,332,A330-200,Airbus,yes,DJ,VOZ,253
A332,332,A330-200,Airbus,yes,FQ,TCW,253
A332,332,A330-200,Airbus,yes,B7,UIA,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,VA,VAU,253
A332,332,A330-200,Airbus,yes,CO,COA,253
A332,332,A330-200,Airbus,yes,AB,BER,253
A332,332,A330-200,Airbus,yes,LH,DLH,253
A332,332,A330-200,Airbus,yes,KC,KZR,253
A332,332,A330-200,Airbus,yes,MK,MAU,253
A332,332,A330-200,Airbus,yes,OK,CSA,253
A332,332,A330-200,Airbus,yes,FV,SDM,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,HA,HAL,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,SB,ACI,253
A332,332,A330-200,Airbus,yes,HX,HXK,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,SA,SAA,253
A332,332,A330-200,Airbus,yes,MH,MAS,253
A332,332,A330-200,Airbus,yes,EK,UAE,253
A332,332,A330-200,Airbus,yes,KL,KLM,253
A332,332,A330-200,Airbus,yes,GL,GRL,253
A332,332,A330-200,Airbus,no,,XMS,253
A332,332,A330-200,Airbus,yes,QJ,,253
A332,332,A330-200,Airbus,yes,KQ,KQA,253
A332,332,A330-200,Airbus,yes,AA,AAL,253
A332,332,A330-200,Airbus,yes,AC,ACA,253
A332,332,A330-200,Airbus,yes,VK,VGN,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,UL,ALK,253
A332,332,A330-200,Airbus,yes,NZ,ANZ,253
A332,332,A330-200,Airbus,yes,KM,AMC,253
A332,332,A330-200,Airbus,yes,SE,SEU,253
A332,332,A330-200,Airbus,yes,PR,PAL,253
A332,332,A330-200,Airbus,yes,SU,AFL,253
A332,332,A330-200,Airbus,yes,SV,SVA,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,CZ,CSN,253
A332,332,A330-200,Airbus,yes,EY,ETD,253
A332,332,A330-200,Airbus,yes,GF,GBA,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,GA,GIA,253
A332,332,A330-200,Airbus,yes,AT,RAM,253
A332,332,A330-200,Airbus,yes,EI,EIN,253
A332,332,A330-200,Airbus,yes,NH,ANA,253
A332,332,A330-200,Airbus,yes,QF,QFA,253
A332,332,A330-200,Airbus,yes,AF,AFR,253
A332,332,A330-200,Airbus,yes,JJ,TAM,253
A332,332,A330-200,Airbus,yes,LX,SWR,253
A332,332,A330-200,Airbus,yes,BD,BMA,253
A332,332,A330-200,Airbus,yes,US,USA,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,SN,DAT,253
A332,332,A330-200,Airbus,yes,OA,OAL,253
A332,332,A330-200,Airbus,yes,AZ,AZA,253
A332,332,A330-200,Airbus,,,,253
A332,332,A330-200,Airbus,yes,UA,UAL,253
A332,332,A330-200,Airbus,yes,JL,JAL,253
A332,332,A330-200,Airbus,yes,3K,JSA,253
A333,333,A330-300,Airbus,yes,MU,CES,295
A333,333,A330-300,Airbus,yes,WY,OMA,295
A333,333,A330-300,Airbus,yes,BR,EVA,295
A333,333,A330-300,Airbus,yes,WB,RWD,295
A333,333,A330-300,Airbus,yes,TK,THY,295
A333,333,A330-300,Airbus,yes,PK,PIA,295
A333,333,A330-300,Airbus,yes,CA,CCA,295
A333,333,A330-300,Airbus,yes,QR,QTR,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,VA,VAU,295
A333,333,A330-300,Airbus,yes,CO,COA,295
A333,333,A330-300,Airbus,yes,AB,BER,295
A333,333,A330-300,Airbus,yes,LH,DLH,295
A333,333,A330-300,Airbus,yes,VS,VIR,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,FV,SDM,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,SK,SAS,295
A333,333,A330-300,Airbus,yes,MH,MAS,295
A333,333,A330-300,Airbus,yes,DT,DTA,295
A333,333,A330-300,Airbus,yes,KL,KLM,295
A333,333,A330-300,Airbus,yes,XF,VLK,295
