ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,Year Manufactured,In Use Indicator (Yes/No),Min number of seats,Maximum of seats
,,ERJ-135,Embraer,,Yes,37,37
,,72-200,ATR,,Yes,66,66
,,72-500,ATR,,Yes,64,72
,,72-600,ATR,,Yes,68,74
,,Otter,Twin,,Yes,16,16
,,175,Embraer,,Yes,76,88
,,ERJ-175,Embraer,,Yes,76,80
,,ERJ-175,Embraer,,Yes,76,80
,,ERJ-190,Embraer,,Yes,98,99
,,CRJ-200,Bombardier,,Yes,50,50
,,CRJ-700,Bombardier,,Yes,63,72
,,CRJ-700,Bombardier,,Yes,63,72
,,CRJ-700,Bombardier,,Yes,63,72
,,CRJ-700,Bombardier,,Yes,63,72
,,CRJ-900,Bombardier,,Yes,76,90
,,CRJ-900,Bombardier,,Yes,76,90
,,CRJ-900,Bombardier,,Yes,76,90
,,ERJ-140,Embraer,,Yes,44,44
,,ERJ-145,Embraer,,Yes,50,50
,,Q400,Bombardier,,Yes,71,78
,,E-195,Embraer,,Yes,112,118
,,Q400,Bombardier,,Yes,71,78
,,190,Embraer,,Yes,96,99
,,E-190,Embraer,,Yes,94,106
,,Air,SATA,,Yes,21,80
,,Air,SATA,,Yes,21,80
,,Air,SATA,,Yes,21,80
,,Air,SATA,,Yes,21,80
,,E-190,Embraer,,Yes,94,106
,,E-195,Embraer,,Yes,112,118
,,72-600,ATR,,Yes,68,74
,,72-500,ATR,,Yes,64,72
,,E-170,Embraer,,Yes,69,76
,,E-170,Embraer,,Yes,69,76
,,E-190,Embraer,,Yes,94,106
,,E-190,Embraer,,Yes,94,106
,,72-600,ATR,,Yes,68,74
,,Twin,DHC-6,,Yes,17,17
,,340B,Saab,,Yes,34,36
,,E-190,Embraer,,Yes,94,106
,,E-190,Embraer,,Yes,94,106
,,CRJ-1000,Bombardier,,Yes,96,100
,,Q400,Bombardier,,Yes,71,78
,,42-500,ATR,,Yes,44,48
,,72-500,ATR,,Yes,64,72
,,E-170,Embraer,,Yes,69,76
,,E-175,Embraer,,Yes,76,88
,,Douglas,McDonnell,,Yes,149,158
,,Douglas,McDonnell,,Yes,149,158
,,CRJ-700,Bombardier,,Yes,63,72
,,CRJ-900,Bombardier,,Yes,76,90
,,E170,Embraer,,Yes,76,76
,,Q400,Bombardier,,Yes,71,78
,,Q400,Bombardier,,Yes,71,78
,,42-500,Aerospatiale/Alenia,,Yes,44,48
,,72-600,Aerospatiale/Alenia,,Yes,68,74
,,Havilland,De,,Yes,12,50
,,175,Embraer,,Yes,76,88
,,195,Embraer,,Yes,118,122
,,Q400,Bombardier,,Yes,71,78
,,-,LEVEL,,Yes,136,314
,,-,LEVEL,,Yes,136,314
,,72-600,ATR,,Yes,68,74
,,Superjet,Sukhoi,,Yes,87,93
,,E-190,Embraer,,Yes,94,106
,,E-175,Embraer,,Yes,76,88
,,E-190,Embraer,,Yes,94,106
,,CRJ-100/200,Bombardier,,Yes,50,50
,,CRJ-705,Bombardier,,Yes,75,75
,,CRJ-900,Bombardier,,Yes,76,90
,,1900D,Beechcraft,,Yes,18,18
,,Q400,Bombardier,,Yes,71,78
,,E-170,Embraer,,Yes,69,76
,,E-190,Embraer,,Yes,94,106
,,CRJ-1000,Bombardier,,Yes,96,100
,,CRJ-700,Bombardier,,Yes,63,72
,,ERJ-145,Embraer,,Yes,50,50
,,72-500,ATR,,Yes,64,72
,,Q300,Bombardier,,Yes,50,50
,,Q400,Bombardier,,Yes,71,78
,,E-175,Embraer,,Yes,76,88
,,E-190,Embraer,,Yes,94,106
,,72-500,ATR,,Yes,64,72
